CSU001,Tuxtla Gutiérrez,600000,S,ESU001
CSU002,San Cristóbal de las Casas,215000,S,ESU001
CSU003,Tapachula,350000,S,ESU001
CSU004,Palenque,50000,S,ESU001
CSU005,Comitán,170000,S,ESU001
CSU006,Oaxaca de Juárez,300000,S,ESU002
CSU007,Salina Cruz,85000,S,ESU002
CSU008,Juchitán,110000,S,ESU002
CSU009,Puerto Escondido,45000,S,ESU002
CSU010,Tuxtepec,160000,S,ESU002
CSU011,Chilpancingo,200000,S,ESU003
CSU012,Acapulco,700000,S,ESU003
CSU013,Iguala,130000,S,ESU003
CSU014,Taxco,60000,S,ESU003
CSU015,Zihuatanejo,100000,S,ESU003
CSU016,Villahermosa,680000,S,ESU004
CSU017,Cárdenas,250000,S,ESU004
CSU018,Comalcalco,150000,S,ESU004
CSU019,Macuspana,160000,S,ESU004
CSU020,Tenosique,90000,S,ESU004
