HS01,Hospital Tuxtla Cardiológico,CS01
HS02,Hospital Infantil Tuxtla,CS01
HS03,Hospital Tuxtla Ortopédico,CS01
HS04,Hospital San Cristóbal Ginecológico,CS02
HS05,Hospital San Cristóbal Oftalmológico,CS02
HS06,Hospital San Cristóbal Oncológico,CS02
HS07,Hospital Tapachula Pediátrico,CS03
HS08,Hospital Tapachula Neurológico,CS03
HS09,Hospital Tapachula General,CS03
HS10,Hospital Palenque Traumatología,CS04
HS11,Hospital Palenque Dermatológico,CS04
HS12,Hospital Palenque Gastroenterológico,CS04
HS13,Hospital Comitán Reumatológico,CS05
HS14,Hospital Comitán Psiquiátrico,CS05
HS15,Hospital Comitán Urológico,CS05
HS16,Hospital Oaxaca Cardiológico,CS06
HS17,Hospital Infantil Oaxaca,CS06
HS18,Hospital Oaxaca Ortopédico,CS06
HS19,Hospital Salina Cruz Ginecológico,CS07
HS20,Hospital Salina Cruz Oftalmológico,CS07
HS21,Hospital Salina Cruz Oncológico,CS07
HS22,Hospital Juchitán Pediátrico,CS08
HS23,Hospital Juchitán Neurológico,CS08
HS24,Hospital Juchitán General,CS08
HS25,Hospital Puerto Escondido Traumatología,CS09
HS26,Hospital Puerto Escondido Dermatológico,CS09
HS27,Hospital Puerto Escondido Gastroenterológico,CS09
HS28,Hospital Tuxtepec Reumatológico,CS10
HS29,Hospital Tuxtepec Psiquiátrico,CS10
HS30,Hospital Tuxtepec Urológico,CS10
HS31,Hospital Chilpancingo Cardiológico,CS11
HS32,Hospital Infantil Chilpancingo,CS11
HS33,Hospital Chilpancingo Ortopédico,CS11
HS34,Hospital Acapulco Ginecológico,CS12
HS35,Hospital Acapulco Oftalmológico,CS12
HS36,Hospital Acapulco Oncológico,CS12
HS37,Hospital Iguala Pediátrico,CS13
HS38,Hospital Iguala Neurológico,CS13
HS39,Hospital Iguala General,CS13
HS40,Hospital Taxco Traumatología,CS14
HS41,Hospital Taxco Dermatológico,CS14
HS42,Hospital Taxco Gastroenterológico,CS14
HS43,Hospital Zihuatanejo Reumatológico,CS15
HS44,Hospital Zihuatanejo Psiquiátrico,CS15
HS45,Hospital Zihuatanejo Urológico,CS15
HS46,Hospital Villahermosa Cardiológico,CS16
HS47,Hospital Infantil Villahermosa,CS16
HS48,Hospital Villahermosa Ortopédico,CS16
HS49,Hospital Cárdenas Ginecológico,CS17
HS50,Hospital Cárdenas Oftalmológico,CS17
HS51,Hospital Cárdenas Oncológico,CS17
HS52,Hospital Comalcalco Pediátrico,CS18
HS53,Hospital Comalcalco Neurológico,CS18
HS54,Hospital Comalcalco General,CS18
HS55,Hospital Macuspana Traumatología,CS19
HS56,Hospital Macuspana Dermatológico,CS19
HS57,Hospital Macuspana Gastroenterológico,CS19
HS58,Hospital Tenosique Reumatológico,CS20
HS59,Hospital Tenosique Psiquiátrico,CS20
HS60,Hospital Tenosique Urológico,CS20
